Roll Number,93608
Score (%),3.33

Question Number,Student Answer,Correct Answer,Result
1,Blank,B,Incorrect
2,Blank,D,Incorrect
3,B,A,Incorrect
4,Blank,C,Incorrect
5,Blank,B,Incorrect
6,Blank,A,Incorrect
7,Blank,B,Incorrect
8,Blank,C,Incorrect
9,D,D,Correct
10,Blank,A,Incorrect
11,Blank,B,Incorrect
12,Blank,D,Incorrect
13,B,A,Incorrect
14,Blank,C,Incorrect
15,Blank,B,Incorrect
16,Blank,A,Incorrect
17,Blank,D,Incorrect
18,B,C,Incorrect
19,Blank,B,Incorrect
20,Blank,A,Incorrect
21,Blank,B,Incorrect
22,Blank,C,Incorrect
23,C,"A, C",Correct
24,Blank,D,Incorrect
25,Blank,B,Incorrect
26,Blank,A,Incorrect
27,Blank,C,Incorrect
28,C,D,Incorrect
29,Blank,B,Incorrect
30,Blank,A,Incorrect
31,Blank,D,Incorrect
32,Blank,C,Incorrect
33,Blank,B,Incorrect
34,Blank,A,Incorrect
35,Blank,B,Incorrect
36,Blank,C,Incorrect
37,Blank,A,Incorrect
38,Blank,D,Incorrect
39,Blank,B,Incorrect
40,D,C,Incorrect
41,D,A,Incorrect
42,D,B,Incorrect
43,Blank,D,Incorrect
44,A,C,Incorrect
45,Blank,A,Incorrect
46,Blank,B,Incorrect
47,Blank,D,Incorrect
48,Blank,A,Incorrect
49,Blank,C,Incorrect
50,Blank,B,Incorrect
51,B,D,Incorrect
52,Blank,A,Incorrect
53,Blank,B,Incorrect
54,Blank,C,Incorrect
55,Blank,D,Incorrect
56,B,A,Incorrect
57,Blank,B,Incorrect
58,Blank,C,Incorrect
59,Blank,D,Incorrect
60,Blank,A,Incorrect
